description,labels
prutton poised for lengthy fa ban  southamptons david prutton faces a possible sevenmatch ban when he goes before the football association  the yearold has admitted two charges of improper conduct following his dismissal against arsenal the first charge relates to his failure to leave the field promptly pushing referee alan wiley and remonstrating with assistant referee paul norman and the second charge is for using threatening words andor behaviour to a match official during the  draw  paolo di canio was given a sevenmatch suspension when he pushed referee paul alcock over in a premiership game between sheffield wednesday and arsenal in  prutton will be joined at wednesdays hearing by saints boss harry redknapp who believes that the fa will throw the book at his player redknapp himself sprinted along the touchline to help physio jim joyce and coach denis rofe shepherd the enraged prutton away from referees assistant norman david has made a big mistake and he knows it i cant condone what hes done he was out of order but he knows that said redknapp hes a decent lad he overreacted badly for some reason  he had a rush of blood from somewhere off the pitch you couldnt meet a nicer lad prutton has apologised publicly for his actions and to arsenals robert pires who was injured in a wild tackle by the saints midfield man  he said its an horrendous situation i apologise to the ref and linesman who were only doing their job ive also seen what happened to pires leg and im sorry for that as well i apologise for the people who saw it i know you get lots of kids going to the match now and they dont pay money to see that sort of thing its not a copout but it was all a bit of a blur sometimes you react and its beyond your control  added prutton , sports
curbishley delight for johansson  charlton manager alan curbishley paid tribute to twogoal striker jonatan johansson after beating norwich  curbishley said after the  win there was talk about norwich being interested in the summer but i have a lot of faith in jonatan when there was talk of other clubs i just told him he was going nowhere hes part of our squad and he got us a couple of important goals early on im sure hes happy here but i was delighted with all the players curbishley was subjected to criticism from charlton fans recently and he said the thing about this club is that we have got where we are by all pulling in the same direction thats happened for however long ive been here and we dont want people taking sides , sports
desailly backs blues revenge trip  marcel desailly insists there is no chance of history repeating itself when chelsea take on barcelona on wednesday  the french star was part of the chelsea side crushed  at the nou camp in the champions league quarterfinal second leg in  things will be totally different this time he told bbc sport now everyone knows about chelsea and is a little bit afraid of them they are one of the major clubs in europe and the pressure will be on barcelona chelsea have not played barcelona since that quarterfinal tie five years ago the blues had looked destined to progress after winning the first leg at stamford bridge  courtesy of two goals from tore andre flo and one by gianfranco zola but they collapsed in the second leg going down to strikes from rivaldo  luis figo dani and patrick kluivert  former chelsea captain desailly who is now playing for algharafa in qatar says there is no comparison between that side and the current blues team who are top of the premiership mentally they are much stronger even though a lot of their players are young the yearold said we made some mistakes at the nou camp in   a lot of them were individual mistakes it would not happen now this team has a new motivation and a different mentality world cup winner desailly saw huge changes during his time at stamford bridge he was signed for m from ac milan in  by ruud gullit and went on to play under gianluca vialli and claudio ranieri but the biggest change occurred when billionaire roman abramovich bought the club in  desailly says the russians arrival helped to instil a winning mentality at the club as well as a demand for success the whole of chelsea is different now  the chairman the manager and all the players he said  everything is new and there is a huge determination to win since that game in  chelsea have gained more experience in europe and were very close to reaching the champions league final last season desailly is one of the most decorated players in the history of football he won the  world cup and  european championship with france the champions league in  with marseilles and  with ac milan two serie a titles and the fa cup in  with chelsea  he is now winding down his career in qatar alongside the likes of frank lebeouf josep guardiola titi camara gabriel batistuta and christophe dugarry so he is full of admiration for two of his colleagues from the great milan side of the mids who are likely to line up against manchester united on wednesday  paolo maldini and alessandro costacurta im happy that they have managed to play so long at a high level he said i made a vow to costacurta that as long as he plays i will continue to play and its amazing that paolo has managed to play at such a high level for such a long time , sports
hearts  livingston  hearts wrapped up their scottish cup quarterfinal tie against livingston with two goals in the first  minutes  lee miller scored inside the opening  seconds heading over colin meldrum and into the net from a jamie mcallister free kick mcallister himself scored the second when he met saul mikoliunas cross at the back post to put the game beyond the visitors craig easton headed in a controversial goal after an hour but hearts held on the opening goal came after gus bahoken had clumsily fouled miller  yards from goal mcallister floated the free kick into the livi box and miller outjumped the static visiting defence to loop his header from  yards over meldrum with just  minutes on the clock the home side doubled their lead mikoliunas sprinted down the right crossed to the back post where mcallister raced in to head past meldrum moments later miller came close to grabbing his second with a firsttime drive from  yards which skimmed the bar  then mcallister picked up a pass from stephen simmons and drove an angled shot from  yards narrowly past meldrums far post the impressive mikoliunas twice went close before half time  a low drive was comfortably gathered by meldrum and then he curled a leftfooted shot past the keepers righthand post livi manager richard gough made three changes at the interval bringing on defender goran stanic midfielder gabor vincze and striker ferenc horvath for bahoken derek lilley and mark wilson but in the opening stages of the second period little changed however the west lothian side gave themselves a lifeline with a controversial goal eric deloumeaux sent jason dair away on the right and he tried to give the ball to mcpake who looked to be in an offside position the livi striker ignored the pass however and dair ran on to it and played easton in at the back post and he headed home from close range the home side called for offside against mcpake but referee alan freeland ignored their claims and pointed to the centrecircle livi went all out for the equaliser in the th minute burton obrien was hauled back at the edge of the box by neil macfarlane but dair sent his shot just inches wide  gordon webster miller hartley neilson mcallister simmons macfarlane  berra burchill wyness  mikoliunas cesnauskis  wallace  moilanen kizys  berra webster  miller  mcallister   meldrum mcnamee bahoken stanic  deloumeaux strong dair easton mark wilson vincze  lilley horvath  obrien mcpake  mckenzie hand   vincze horvath  easton     a freeland , sports
dent continues adelaide progress  american taylor dent reached the final of the australian hardcourt event in adelaide with a crushing   win over argentine juan ignacio chela  dent will meet swede joachim johansson on sunday after the second seed survived a tense tiebreak to defeat belgiums olivier rochus    johansson the boyfriend of lleyton hewitts sister jaslyn received strong crowd support on saturday it feels like home for me because jaslyn lives here said johansson rochus was leading  in the second set tiebreak but his concentration was ruffled by a disputed line call and the match slipped away it was so close  one mistake like this and the match is over its tough for me it was clearly out rochus said , sports
roddick into san jose final  andy roddick will play cyril saulnier in the final of the sap open in san jose on sunday  the american top seed and defending champion overcame germanys tommy haas the third seed    and saulnier survived an injury scare in his semifinal with seventhseeded austrian jurgen melzer the frenchman twisted his ankle early in the second set but overcame melzer who was left fuming over a series of line calls     i was feeling horrible earlier in the week roddick said i thought tonight was another step in the right direction on my returns i was standing in more and im getting a little more depth even if i dont hit a perfect return  roddick won the last four points of the firstset tiebreak before being broken at the start of the second set but he broke straight back and then broke haas again to lead  its extremely frustrating when you have chances against a topfive player and dont do anything with them admitted haas i rushed a few backhands and he took advantage saulnier will move into the worlds top  for the first time after his passage through to the final its taken a lot of work and a lot of fighting in my mind he revealed sometimes i didnt believe i could get to a final and now i am here ive stayed mentally strong im on the way ill keep fighting and work a lot and ill be up there , sports
oconnell rejects lions rumours  ireland and munster lock paul oconnell has dismissed media reports linking him to the captaincy of the lions tour to new zealand this summer  oconnell is rumoured to be among the frontrunners for the job but says he is totally focused on sundays six nations crunch clash with england i honestly dont think about these reports he told bbc sport the lions thing is all speculation and newspaper talk nothing more i just ignore it and get on with my job he added the only thing that annoys me after reading some reports is what the opposition locks think i can just imagine them saying im going to show this guy whats what about second row play thats the one thing that makes me cringe oconnell who made a tryscoring international debut against wales two years ago is enjoying his meteoric rise into rugbys shop window  but refuses to be drawn on the lions  i have spoken to sir clive woodward a few times but not for very long certainly nothing about summer holidays he joked he also said he remains wary of wounded englands abilities coming into sundays game after two straight defeats dismissing predictions of a certain irish victory its very dangerous to think that this england team has so much experience and skill you do not become a bad team overnight they have two world class gamebreakers in josh lewsey and jason robinson while charlie hodgson is just ready to click into place he insisted ireland will not make the mistake of being overconfident thats not going to happen in our squad no ireland team lining up to play england will ever fall into that trap he said every time we play england we know what a big task it is look at what they did to us two years ago i remember that game all too well and it was not a good feeling i came on as a replacement and we were losing  and ended up getting hammered  so i know what can happen when england come to dublin they could so easily have been coming to dublin with two wins and staring a grand slam in the face as well , sports
slovakia seal hopman cup success  slovakia clinched the hopman cup for the second time by beating argentina  in saturdays final in perth  daniela hantuchova put the third seeds ahead recovering from a terrible start to beat gisela dulko    dominik hrbaty who had not lost a set in his three singles matches in the group stages then upset world number seven guillermo coria   hantuchova and hrbaty then won the mixed doubles after coria was forced to withdraw because of a sore back slovakias win made up for last years final defeat to the united states i would like to congratulate daniela hrbaty said i was so nervous watching her today i almost had a heart attack i also feel a little sorry for guillermo because i get very excited whenever i play for my country i show lots of emotions and played such good tennis  world number  hantuchova ranked two places above dulko looked nervous as she dropped the first four games of the match dulko who had lost all three of her singles matches in the group stages grew in confidence and took the opening set in just  minutes but hantuchova hit back to take the next two and the match i was so nervous because i really wanted to win for the team and for dominik as he played so well all week she said i didnt think i was playing my best but i just tried to hang in there and fight hard for every point for my country slovakia won the cup on their first appearance in  when karol kucera and karina habsudova beat france , sports
clijsters set for february return  tennis star kim clijsters will make her return from a careerthreatening injury at the antwerp wta event in february  kim had considered returning to action in paris on  february a statement on her website said shes decided against this so that she does not risk the final phase of her recovery if all goes well kim will make her return on february  the yearold has not played since last october after aggravating a wrist injury at the belgian open back then a doctor treating the belgian feared that her career may be over with the player having already endured an operation earlier in the season to cure her wrist problem i hope she comes back but im pessimistic said bruno willems clijsters was also due to marry fellow tennis star lleyton hewitt in february but the pair split for private reasons back in october , sports
strachan turns down pompey  former southampton manager gordon strachan has rejected the chance to become portsmouths new boss  the scot was pompey chairman milan mandarics first choice to replace harry redknapp who left fratton park for rivals saints earlier in december i think its a fantastic job for anybody apart from somebody who has just been the southampton manager strachan told the bbc club director terry brady held initial talks with strachan on saturday the former scotland international added that joining southamptons local rivals would not be a wise move its got everything going for it but ive got too many memories of the other side and i dont want to sour those memories he said everythings right  its  minutes away there are good players there a good setup a good atmosphere at the ground theres lots to do but its not right for somebody who has just been the southampton manager since redknapps departure executive director velimir zajec and coach joe jordan have overseen firstteam affairs  the duo had gone five matches unbeaten until sundays  defeat at home to champions arsenal but the club are still in a respectable th place in the premiership table strachan left st marys in february after earlier announcing his intention to take a break from the game at the end of the  season his previous managerial experience came at coventry whom he led for five years from  to  , sports
henman  murray claim lta awards  tim henman was named player of the year for  by the lawn tennis association at wimbledon on monday  the briton was recognised for the best year of his career which saw him reach the semis at the french and us opens scotlands andrew murray was named young player of the year after winning the us open juniors as well as a futures event in italy and world number one peter norfolk won disabled player of the year after claiming his third us open crown  great britains under  boys won the team of the year prize for their victory at the world junior tennis event in august henman will start his  campaign at the kooyong event on  january in a field that includes roger federer andy roddick and andre agassi and the briton is optimistic of surpassing his best effort of a fourthround place at the australian open which begins the following week ive often felt that the conditions suit my game in melbourne so id love to be able to start next year by doing well at the australian open henman told his website thats why ive changed my schedule slightly by committing to play in the kooyong classic ill be able to acclimatise while practising before the event and then will be guaranteed matches against the best players in the world i think that will give me the best possible chance of doing well at the australian open , sports
moya emotional after davis cup win  carlos moya described spains davis cup victory as the highlight of his career after he beat andy roddick to end the usas challenge in seville  moya made up for missing spains  victory through injury by beating roddick      to give the hosts an unassailable  lead i have woken up so many nights dreaming of this day said moya all my energy has been focused on today what i have lived today i do not think i will live again spains only other davis cup title came two years ago in valencia when they beat australia and moya nicknamed charly admitted the davis cup is my dream and i was a bit nervous at the outset some people have said that i am obsessed but i think that it is better this way it helps me reach my goals if i am obsessed its really incredible  to get the winning point is really something spanish captain jordi arrese said charly played a great game it was his opportunity and he hasnt let us down he had lost three times to roddick and this was his day to beat him he had been waiting years to be in this position spains victory was also remarkable for the performance of rafael nadal who beat roddick in the opening singles  aged  years and  days the mallorcan became the youngest player to win the davis cup what a great way to finish the year said nadal afterwards us coach patrick mcenroe wants roddick and the rest of his team to play more tennis on clay and hone their skills on the surface i think it will help these guys even on slow hard courts to learn how to mix things up a little bit and to play a little bit smarter and tactically better obviously its unrealistic to say that were going to just start playing constantly on clay with the schedule but certainly i think we can put the work in at the appropriate time and play a couple more events and play against these guys who are the best on this stuff said mcenroe roddick was left frustrated after losing both his singles on the slow clay of sevilles olympic stadium its just tough because i felt like i was in it the whole time against one of the top three claycourters in the world said the american i had my chances and just didnt convert them the bottom line is they were just better than us this weekend they came out took care of business and they beat us its as simple as that , sports
 an irish athletics year   wont be remembered as one of irish athletics great years  the year began with that optimism which invariably and unaccountably seems to herald an upcoming olympiad but come late august a few hot days in the magnificent stadium in athens told us of the true strength of irish athletics  or to be more accurate the lack of it sonia osullivans olympic farewell apart there was little to stir the emotions of irish athletics watchers but after the disastrous buildup to the games we shouldnt have been surprised at the start of the year an osullivan had been earmarked as irelands best medal prospect but as it turned out walker gillian never even made it to the start line because of injury less than a week before the olympics the sport was rocked by news that m hope cathal lombard had tested for the banned substance epo lombards shattering of mark carrolls national m record in april had already set tongues wagging but even the most cynical of observers were surprised when he was rumbled after an irish sports council sting operation the corkman quickly held his hands up in admission and was promptly handed a twoyear ban from the sport  back at preolympic ranch in greece it must have seemed that things couldnt have got any worse but they very nearly did with walker jamie costin lucky to escape with his life after being involved in a car crash near athens once the track and field action began in athens a familiar pattern of underachievement emerged although alistair craggs performance in being the only athlete from a european nation to qualify for the m final did offer hope for the future our beloved sonia scraped into the womens k final as a fastest loser and for a couple of days the country attempted to delude itself into believing that she might be in the medal shakeup as it happened she went out the back door early in the final although there was nothing undignified about the way that she insisted on finishing the race over a minute behind winner meseret defar it later transpired that sonia had been suffering from a stomach bug in the  hours before the final although typically the cobhwoman played down the effects of the illness amazingly she was back in action a couple of weeks later when beating a worldclass field at the flora lite k road race in london and while her major championship days may be over its unlikely that we have seen the last of her in competition at least sonia managed to make it to athens at the start of the year several northern ireland athletes had genuine hopes of qualifying for the games but come august an outofform and injured paul brizzel was the lone standard bearer for the province the ballymena man gave it a lash but his achilles problem and a bad lane draw meant a time of  and an early exit  james mcilroy gareth turnbull zoe brown and paul mckee all had to be content with watching the athens action on their television screens m hope mcilroy never got near his best during the summer and a fourth place in the british trials effectively ended his hopes of making the plane the injuryplagued turnbull gamely travelled round europe in search of the m qualifying mark but  was the best he could achieve after missing several months training during the previous winter a lingering hamstring probem and a virus wrecked mckees athens ambitions and both he and turnbull deserve a slice of better fortune in  pole vaulter brown had hoped for a vote of confidence from the british selectors after she had achieved the athens b standard but the call never came as the summer ended stalwarts catherina mckiernan and dermot donnelly hung up their competitive spikes mckiernan had to candidly acknowledge that time had crept up on her after several injuryravaged years donnelly and his annadale striders teammates later suffered tragedy when their friend and clubman andy campbell was found dead at his home on  december a large turnout of athleticsloving folk turned out in west belfast to offer their respects to the campbell family and andys many friends as only death can it put the years athletics happenings in a sharp perspective , sports
funding cut hits wales students  the wales students rugby side has become a casualty of the welsh rugby unions reorganisation at youth level  an amalgamated under side formed from separate schools and national youth teams plays its first match on thursday against italy at the gnoll but that move has seen the wru decide to end its funding of representative sides such as wales students as a result traditional international fixtures against england and france in the new year have been cancelled the welsh students rugby football union feels that it is unable to properly prepare for or stage the matches the secretary of the welsh students rugby football union reverend eldon phillips said it is a shame that fixtures cannot be maintained this year the competition provided by the strong english and french teams has enabled the welsh students to test themselves in high quality matches the increasing number of young rugby players entering higher education look for the biggest challenge that is representative rugby but this year that opportunity will be denied them players who have played for wales students before going on to win full senior representative honours include robert jones rob howley jon humphreys darren morris martyn williams and ceri sweeney , sports
robben plays down european return  injured chelsea winger arjen robben has insisted that he only has a  chance of making a return against barcelona in the champions league  the yearold has been sidelined since breaking a foot against blackburn last month chelsea face barcelona at home on  march having lost  in the first leg and robben told the daily star it is not impossible that i will play against barcelona but it is just a very very small chance  about   robben has been an inspirational player for chelsea this season following a switch from psv einhoven last summer he added my recovery is going better than we expected a few weeks ago but i think the barcelona game will come too soon i wont take any risks and come back too soon , sports
